,T2M,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-01-01,16.41,38.45,0.0,2.51,13.58
2020-01-02,18.06,39.85,0.0,4.27,15.53
2020-01-03,20.78,33.73,0.0,4.93,15.84
2020-01-04,21.55,37.88,0.0,3.28,15.07
2020-01-05,14.67,64.41,2.78,2.73,5.42
2020-01-06,11.15,49.42,0.0,2.17,17.2
2020-01-07,12.23,41.2,0.0,1.39,16.33
2020-01-08,14.87,37.37,0.0,3.35,14.54
2020-01-09,15.85,39.27,0.06,2.49,12.6
2020-01-10,12.97,47.33,0.0,2.51,17.39
2020-01-11,10.8,40.98,0.0,4.61,16.22
2020-01-12,9.0,44.48,0.0,3.49,16.84
2020-01-13,11.2,27.89,0.0,1.64,18.03
2020-01-14,10.38,34.74,0.0,3.54,17.63
2020-01-15,8.66,41.33,0.0,2.38,17.43
2020-01-16,11.07,48.35,0.0,2.44,18.07
2020-01-17,13.01,45.64,0.0,4.06,17.92
2020-01-18,16.07,27.86,0.0,3.22,17.57
2020-01-19,17.52,34.99,0.0,2.34,16.73
2020-01-20,14.26,49.98,0.0,2.38,17.33
2020-01-21,14.36,46.05,0.0,3.75,16.79
2020-01-22,15.63,38.6,0.0,5.23,16.98
2020-01-23,10.87,32.41,0.03,3.5,16.69
2020-01-24,10.66,36.57,0.0,1.88,18.08
2020-01-25,11.33,33.76,0.0,4.06,18.25
2020-01-26,7.69,43.68,0.0,4.32,18.95
2020-01-27,8.76,42.36,0.0,2.15,19.84
2020-01-28,10.95,27.64,0.0,1.16,19.82
2020-01-29,13.96,21.89,0.0,2.63,16.9
2020-01-30,13.33,28.61,0.0,2.81,17.04
2020-01-31,15.34,29.07,0.0,1.86,17.71
2020-02-01,16.08,37.92,0.0,2.97,15.59
2020-02-02,13.15,23.24,0.0,1.74,17.82
2020-02-03,12.51,28.3,0.0,1.42,19.2
2020-02-04,13.91,34.77,0.0,2.81,18.15
2020-02-05,16.21,44.8,0.0,2.7,13.51
2020-02-06,17.8,47.67,0.0,2.88,15.87
2020-02-07,20.24,29.18,0.0,3.57,19.03
2020-02-08,22.52,27.83,0.0,3.53,19.17
2020-02-09,18.12,29.62,0.0,2.51,15.48
2020-02-10,14.07,36.62,0.0,2.46,14.77
2020-02-11,9.78,38.4,0.0,3.68,15.79
2020-02-12,6.95,20.89,0.0,3.19,21.32
2020-02-13,8.8,17.01,0.0,1.04,21.82
2020-02-14,12.92,16.7,0.0,1.75,22.22
2020-02-15,15.63,16.38,0.0,1.97,21.82
2020-02-16,16.99,14.99,0.0,3.95,20.75
2020-02-17,20.57,12.51,0.0,3.4,19.17
2020-02-18,20.73,15.65,0.0,4.22,17.11
2020-02-19,22.55,18.26,0.0,5.04,19.78
2020-02-20,19.2,29.23,0.0,4.8,16.09
2020-02-21,16.16,33.77,0.0,1.93,20.29
2020-02-22,18.88,31.32,0.0,3.38,19.81
2020-02-23,20.93,35.82,0.0,3.12,18.12
2020-02-24,23.07,40.36,0.0,4.32,18.14
2020-02-25,24.93,24.62,0.0,5.07,17.48
2020-02-26,18.02,27.34,0.0,5.01,22.88
2020-02-27,16.11,34.02,0.0,2.5,22.29
2020-02-28,17.76,22.37,0.0,1.73,23.46
2020-02-29,20.33,20.0,0.0,2.93,20.92
2020-03-01,23.21,19.27,0.0,4.03,20.78
2020-03-02,17.57,26.26,0.0,3.63,21.24
2020-03-03,15.69,23.07,0.0,1.83,23.6
2020-03-04,17.37,22.84,0.0,1.78,23.76
2020-03-05,18.3,22.02,0.0,1.4,22.58
2020-03-06,20.08,19.81,0.0,2.38,23.39
2020-03-07,22.0,18.5,0.0,3.77,23.45
2020-03-08,19.23,25.12,0.0,3.63,21.98
2020-03-09,17.74,35.97,0.0,3.05,23.64
2020-03-10,19.14,27.59,0.0,1.57,24.44
2020-03-11,19.44,23.26,0.0,2.08,24.85
2020-03-12,20.22,21.48,0.0,3.22,22.33
2020-03-13,21.47,13.74,0.0,4.57,19.17
2020-03-14,21.51,37.01,0.0,3.87,10.81
2020-03-15,21.73,42.03,0.0,3.02,23.07
2020-03-16,20.6,33.19,0.0,2.65,24.14
2020-03-17,22.07,33.44,0.0,3.48,22.61
2020-03-18,24.51,28.49,0.0,4.45,19.4
2020-03-19,22.35,25.92,0.03,2.22,24.36
2020-03-20,22.85,37.86,0.0,2.61,20.51
2020-03-21,23.77,13.17,0.0,2.54,25.19
2020-03-22,18.9,20.1,0.0,5.37,26.17
2020-03-23,16.66,19.8,0.0,2.85,26.71
2020-03-24,18.42,17.12,0.0,1.55,24.0
2020-03-25,21.89,15.96,0.0,2.23,23.29
2020-03-26,23.99,15.25,0.0,3.26,24.41
2020-03-27,25.32,17.75,0.0,3.45,22.34
2020-03-28,27.44,19.79,0.0,2.73,18.98
2020-03-29,23.99,31.82,0.0,4.87,24.53
2020-03-30,21.92,33.23,0.0,2.48,25.1
2020-03-31,22.1,22.86,0.0,2.55,24.75
2020-04-01,24.83,22.33,0.0,4.61,19.84
2020-04-02,26.81,17.88,0.0,3.71,24.12
2020-04-03,25.82,19.95,0.0,2.05,24.84
2020-04-04,24.3,29.27,0.0,3.77,24.64
2020-04-05,25.67,21.55,0.0,3.16,25.81
2020-04-06,26.78,23.29,0.24,2.26,24.12
2020-04-07,29.28,20.3,0.0,2.23,24.13
2020-04-08,30.84,16.41,0.0,4.31,25.69
2020-04-09,32.03,14.45,0.0,5.77,23.86
2020-04-10,32.2,17.0,0.0,3.93,24.74
2020-04-11,28.84,21.47,0.0,2.34,17.3
2020-04-12,28.27,31.3,0.9,2.95,17.37
2020-04-13,23.43,38.78,0.36,4.1,20.35
2020-04-14,22.78,35.87,0.36,4.47,25.28
2020-04-15,20.5,50.7,7.22,3.12,23.21
2020-04-16,21.84,51.88,0.07,1.68,25.58
2020-04-17,24.36,41.17,0.67,3.37,25.8
2020-04-18,26.4,45.53,3.86,4.59,21.84
2020-04-19,24.95,41.26,0.0,2.34,17.92
2020-04-20,22.05,67.68,0.92,3.42,13.91
2020-04-21,21.43,71.8,12.97,1.81,19.7
2020-04-22,25.16,48.41,0.46,2.91,26.35
2020-04-23,28.94,29.18,0.0,1.7,28.0
2020-04-24,30.06,26.31,0.0,2.02,25.82
2020-04-25,30.47,28.21,0.0,3.81,25.55
2020-04-26,28.87,26.37,0.9,4.35,26.96
2020-04-27,25.79,27.75,0.0,3.01,25.57
2020-04-28,26.63,28.45,0.0,3.89,26.51
2020-04-29,30.49,25.04,0.0,5.0,24.74
2020-04-30,28.67,25.14,0.0,3.61,27.07
2020-05-01,28.15,30.49,0.0,2.92,25.24
2020-05-02,29.6,27.18,0.0,3.49,27.73
2020-05-03,28.2,16.89,0.0,3.75,27.6
2020-05-04,28.35,16.91,0.0,2.84,27.23
2020-05-05,30.87,20.4,0.11,4.08,23.0
2020-05-06,31.32,34.94,0.16,2.9,21.91
2020-05-07,29.49,22.72,0.0,4.06,26.16
2020-05-08,29.02,20.99,0.0,2.82,20.01
2020-05-09,31.56,20.45,0.0,3.4,25.55
2020-05-10,33.16,26.22,0.0,2.88,24.82
2020-05-11,31.59,26.87,0.0,3.52,20.31
2020-05-12,30.77,18.05,0.0,2.48,25.31
2020-05-13,29.21,15.55,0.0,3.18,27.19
2020-05-14,29.26,13.86,0.0,3.74,28.55
2020-05-15,29.32,15.27,0.0,2.62,25.61
2020-05-16,31.49,15.77,0.0,1.81,27.56
2020-05-17,31.96,17.46,0.0,1.6,27.71
2020-05-18,32.44,14.22,0.0,1.6,27.78
2020-05-19,32.4,15.03,0.0,2.12,19.41
2020-05-20,32.31,20.5,0.0,3.19,25.08
2020-05-21,32.27,12.81,0.0,2.97,28.29
2020-05-22,32.1,12.91,0.0,2.29,27.66
2020-05-23,32.38,13.85,0.0,1.57,29.26
2020-05-24,32.98,11.1,0.0,1.99,29.4
2020-05-25,33.27,10.47,0.0,3.05,29.71
2020-05-26,30.7,16.58,0.0,3.06,28.26
2020-05-27,31.97,12.8,0.0,2.76,28.46
2020-05-28,33.41,11.54,0.0,3.17,28.24
2020-05-29,34.19,11.55,0.0,2.95,28.29
2020-05-30,34.84,10.79,0.0,2.86,29.93
2020-05-31,33.83,12.76,0.0,2.68,28.64
2020-06-01,34.6,12.03,0.0,1.95,29.95
2020-06-02,35.2,12.79,0.0,2.2,29.71
2020-06-03,35.85,16.22,0.0,2.38,29.44
2020-06-04,35.72,13.8,0.0,2.4,29.09
2020-06-05,35.42,11.78,0.0,3.92,28.44
2020-06-06,35.16,11.53,0.0,3.85,28.62
2020-06-07,35.16,12.91,0.0,3.52,28.69
2020-06-08,35.14,12.45,0.0,1.18,27.95
2020-06-09,35.6,12.78,0.0,2.32,27.71
2020-06-10,35.35,11.67,0.0,2.8,29.16
2020-06-11,35.48,11.72,0.0,2.09,29.14
2020-06-12,36.13,9.42,0.0,2.11,29.78
2020-06-13,34.64,12.02,0.0,2.86,29.62
2020-06-14,34.37,10.97,0.0,2.84,28.67
2020-06-15,34.99,11.9,0.0,1.31,28.54
2020-06-16,37.31,9.44,0.0,2.68,29.57
2020-06-17,36.23,10.84,0.0,3.3,29.85
2020-06-18,34.64,10.25,0.0,4.51,29.24
2020-06-19,33.67,9.21,0.0,4.05,30.55
2020-06-20,34.22,11.93,0.0,2.41,29.45
2020-06-21,33.87,14.9,0.0,2.49,28.99
2020-06-22,32.27,15.18,0.0,4.67,29.14
2020-06-23,32.52,15.92,0.0,4.88,28.96
2020-06-24,32.18,11.61,0.0,3.65,30.6
2020-06-25,34.02,10.52,0.0,4.32,28.19
2020-06-26,34.91,9.7,0.0,3.73,28.15
2020-06-27,36.15,7.94,0.0,3.84,28.77
2020-06-28,35.56,8.86,0.0,2.74,29.55
2020-06-29,37.15,10.33,0.0,2.99,29.55
2020-06-30,36.82,11.87,0.0,2.69,29.12
2020-07-01,36.98,11.73,0.0,1.49,29.45
2020-07-02,36.18,14.03,0.0,3.13,28.76
2020-07-03,35.68,16.95,0.0,3.59,28.85
2020-07-04,36.16,13.94,0.0,2.21,28.21
2020-07-05,37.32,11.89,0.0,1.37,28.6
2020-07-06,37.78,9.94,0.0,1.49,29.04
2020-07-07,38.18,9.6,0.0,1.71,28.81
2020-07-08,37.64,10.61,0.0,2.71,28.42
